post_url,post_timestamp,post_caption,comment_id,comment_text,comment_owner_username,comment_timestamp,comment_likes_count
https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,"Semangat Melayani Sepenuh Hati membuat Telkomsel terus berkomitmen menghubungkan negeri dengan konektivitas tanpa batas.

Agar kualitas layanan kami semakin baik ke depannya, mari luangkan waktu cukup 1 menit untuk perubahan Telkomsel yang lebih baik lagi.

Berikan satu suara setiap hari melalui scan QR code berikut atau kunjungi tsel.id/cx100",17935292166297501,Gmn min??? Layanan mu mengecewakan.,fresman_sibarani,2026-07-09T22:23:50.000Z,0
https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,"Semangat Melayani Sepenuh Hati membuat Telkomsel terus berkomitmen menghubungkan negeri dengan konektivitas tanpa batas.

Agar kualitas layanan kami semakin baik ke depannya, mari luangkan waktu cukup 1 menit untuk perubahan Telkomsel yang lebih baik lagi.

Berikan satu suara setiap hari melalui scan QR code berikut atau kunjungi tsel.id/cx100",18419615983183806,Gmn Min? Tiba2 ada tagihan???,fresman_sibarani,2026-07-09T22:23:11.000Z,0
https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,"Semangat Melayani Sepenuh Hati membuat Telkomsel terus berkomitmen menghubungkan negeri dengan konektivitas tanpa batas.

Agar kualitas layanan kami semakin baik ke depannya, mari luangkan waktu cukup 1 menit untuk perubahan Telkomsel yang lebih baik lagi.

Berikan satu suara setiap hari melalui scan QR code berikut atau kunjungi tsel.id/cx100",17957910591150045,Gmn ini min. Tiba2 ada tagihan kartu halo. Parah amat layanan mu. 😢😢,fresman_sibarani,2026-07-09T22:17:25.000Z,0
https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,"Semangat Melayani Sepenuh Hati membuat Telkomsel terus berkomitmen menghubungkan negeri dengan konektivitas tanpa batas.

Agar kualitas layanan kami semakin baik ke depannya, mari luangkan waktu cukup 1 menit untuk perubahan Telkomsel yang lebih baik lagi.

Berikan satu suara setiap hari melalui scan QR code berikut atau kunjungi tsel.id/cx100",18014202464715460,SINYALLLLL TOLONGGGGG.. SAYA MAU KERJAAAA,froxygen,2026-07-09T15:18:33.000Z,1
https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,"Semangat Melayani Sepenuh Hati membuat Telkomsel terus berkomitmen menghubungkan negeri dengan konektivitas tanpa batas.

Agar kualitas layanan kami semakin baik ke depannya, mari luangkan waktu cukup 1 menit untuk perubahan Telkomsel yang lebih baik lagi.

Berikan satu suara setiap hari melalui scan QR code berikut atau kunjungi tsel.id/cx100",17874842661526452,@prabowo pak tolong telkom di audit pak,siblack_tofu,2026-07-09T15:13:34.000Z,0
https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,"Semangat Melayani Sepenuh Hati membuat Telkomsel terus berkomitmen menghubungkan negeri dengan konektivitas tanpa batas.

Agar kualitas layanan kami semakin baik ke depannya, mari luangkan waktu cukup 1 menit untuk perubahan Telkomsel yang lebih baik lagi.

Berikan satu suara setiap hari melalui scan QR code berikut atau kunjungi tsel.id/cx100",17934524607328175,Ini Telkomsel emang jual data pengguna yah? Atau emang kerjasama sama pinjaman online ? Masih aja anj banyak yang call nawarin pinjaman. Ini nomor baru padahal… 👏👏👏👏👏 menyala telkomsel,adi_airlanggaa,2026-07-09T02:39:33.000Z,2
https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,"Semangat Melayani Sepenuh Hati membuat Telkomsel terus berkomitmen menghubungkan negeri dengan konektivitas tanpa batas.

Agar kualitas layanan kami semakin baik ke depannya, mari luangkan waktu cukup 1 menit untuk perubahan Telkomsel yang lebih baik lagi.

Berikan satu suara setiap hari melalui scan QR code berikut atau kunjungi tsel.id/cx100",17908049271264825,Memangnya untuk buat laporan keluhan via dm ig ada permintaan kode otp min? Kok baru kali ini ya diminta otp,tmp_os,2026-07-09T01:41:26.000Z,0
https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,"Semangat Melayani Sepenuh Hati membuat Telkomsel terus berkomitmen menghubungkan negeri dengan konektivitas tanpa batas.

Agar kualitas layanan kami semakin baik ke depannya, mari luangkan waktu cukup 1 menit untuk perubahan Telkomsel yang lebih baik lagi.

Berikan satu suara setiap hari melalui scan QR code berikut atau kunjungi tsel.id/cx100",18110602387987200,Min tolonf baca DM @telkomsel,dhiyanie_,2026-07-08T04:28:34.000Z,0
https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,"Semangat Melayani Sepenuh Hati membuat Telkomsel terus berkomitmen menghubungkan negeri dengan konektivitas tanpa batas.

Agar kualitas layanan kami semakin baik ke depannya, mari luangkan waktu cukup 1 menit untuk perubahan Telkomsel yang lebih baik lagi.

Berikan satu suara setiap hari melalui scan QR code berikut atau kunjungi tsel.id/cx100",18107328179285038,Kenapa kode otp saya lama sekali yang dikirim dan hampir satu Minggu kode otp tidak kunjung di kirirm,itaklampis,2026-07-07T21:45:18.000Z,2
https://www.instagram.com/p/Dac9P_dHSzs/,2026-07-06T13:04:54.000Z,"Semangat Melayani Sepenuh Hati membuat Telkomsel terus berkomitmen menghubungkan negeri dengan konektivitas tanpa batas.

Agar kualitas layanan kami semakin baik ke depannya, mari luangkan waktu cukup 1 menit untuk perubahan Telkomsel yang lebih baik lagi.

Berikan satu suara setiap hari melalui scan QR code berikut atau kunjungi tsel.id/cx100",18056017379597097,"Parah bgt jaringanya busuk seharian ga bisa di pake ilang2an mulu, mode pesawat berkali² berharap sinyalnya datang ttp zonk",xinyuou94,2026-07-07T13:27:34.000Z,8
